,Start Time,End Time,Cleaned Text,Score
0,22.96,30.4,cours quick introduct machin learn,0.4315217668938279
1,30.4,35.96,deep mathemat sens amount mathemat trigger,0.47140452079103173
2,35.96,42.08,cours cover differ paradigm machin learn,0.39457254289739835
3,47.84,55.120000000000005,variou machin learn paradigm introductori lectur set lectur,0.3854580931430489
4,61.440000000000005,68.48,call lectur machin learn brief introduct emphasi brief,0.3845307521787845
5,151.92,157.28,think someth happen right seem chang someth learn,0.3824954889737643
6,183.04,188.72,perform measur would number patient save number,0.4215497909429034
7,194.16,197.28,way defin perform measur depend look,0.400568226901922
8,198.32,205.28,third import compon experi experi perform,0.4617559249239264
9,211.76,216.32,write exam number exam write better write,0.5523777561654437
10,223.68,229.36,patient look better becom diagnos ill,0.40627563040354553
11,230.24,234.64,three compon need class task need perform,0.4237697858547791
12,283.52,287.6,take definit pinch salt exampl could,0.4056658364141614
13,310.32,317.2,pinch salt take exampl slipper slipper,0.47062852435592756
14,323.68,330.08,whether fit leg comfort whether peopl say bite,0.3935756237854845
15,330.08,337.52,leg chaf feet experi slipper know,0.40425001483302575
16,342.32,347.84,task fit foot right measur whether chaf foot whether,0.39497184308053934
17,385.52,391.6,input could descript patient come come clinic output,0.39158461920183474
18,395.84,401.04,kind input output map input could kind question right,0.3951776123063342
19,415.6,420.88,output look happen categor output like whether,0.4233625542996578
20,420.88,425.36,diseas diseas whether answer true fals supervis learn,0.3895176749385206
21,425.36,431.68,problem call classif problem right output happen continu,0.38957278033030207
22,464.0,469.92,given set data right discov pattern data right,0.4152972640839315
23,498.08,503.2,could one categori profession could anoth categori forth,0.4242912286178166
24,513.92,519.52,mine frequent pattern mine interest find frequent co occurr,0.39947578329073
25,550.4,555.1999999999999,look third form learn call reinforc learn,0.40372566874352833
26,555.2800000000001,561.0400000000001,neither supervis unsupervis natur typic problem,0.40486575788759255
27,576.1600000000001,580.32,need kind perform measur look classif,0.4042735809476019
28,586.24,591.84,mani mani differ perform measur durat cours typic perform,0.3947200708366158
29,596.72,601.36,patient get incorrect mani diseas,0.44396055602828854
30,601.36,605.84,detect predict diseas mani diseas miss right,0.42100291139035056
31,605.84,610.0,would one measur would use would measur want,0.4975749767661554
32,618.24,624.4,measur use form right likewis regress,0.39300220136876257
33,638.48,645.76,term cluster littl becom littl trick defin perform,0.39126659150109955
34,645.76,650.96,measur know good cluster algorithm know measur,0.46498498380389786
35,656.48,664.48,popular one scatter spread cluster essenti tell spread,0.39184527480654563
36,669.28,674.24,group group cohes togeth,0.6107448438690135
37,686.4,691.84,figur mani fraction cluster colleg student,0.4055313750608956
38,701.6,705.28,support confid take littl bit work explain support confid,0.3992745319707614
39,706.0,712.88,differ talk associ rule detail reinforc,0.40628212279804693
40,712.88,717.04,learn task rememb told learn control go,0.4023054631394255
41,717.04,722.9599999999999,cost control system measur cost would like minim,0.38829105114012136
42,722.9599999999999,728.24,cost go accru control system basic,0.405290040412382
43,743.6800000000001,749.6,talk measur previou slide often suffici,0.40041132831464643
44,749.6,754.32,practic consider come play look,0.44190759665940416
45,768.08,773.2800000000001,data experi talk given experi would,0.46989880268017314
46,779.2,783.5200000000001,improv experi choos model,0.49732843685065786
47,788.4000000000001,792.8800000000001,spend much time cours whole,0.4430742557113884
48,804.96,811.28,data enough experi say model good right data,0.38802311102992404
49,816.16,821.36,age record 225 mean could 225 day case,0.3921392593049422
50,828.0,833.36,reason 225 year reason number someth wrong,0.42787139943721036
51,846.0,851.8399999999999,begin machin learn cours right primarili,0.38767962636335945
52,851.8399999999999,856.3199999999999,primarili concern algorithm machin learn math,0.39224801446478347
53,862.64,868.3199999999999,base talk mani issu cours,0.44089824832951285
54,875.0400000000001,881.2,confid result certainli talk littl bit,0.40543291641698387
55,895.44,904.0,domain depend question answer experi,0.4409146589482127
56,909.68,914.32,typic question would like ask slide,0.40133625981399884
57,915.44,920.64,next next modul look differ learn paradigm,0.4187413095963816
58,921.68,928.48,slightli detail,0.7039762972793586
