,start,end,text
0,0.0,10.0, ۔
1,10.0,12.0, ۔
2,12.0,15.0, ۔
3,15.0,18.0, ۔
4,18.0,20.0, ۔
5,20.0,23.0, ۔
6,23.0,25.0, ۔
7,25.0,27.0, ۔
8,27.0,29.0, ۔
9,29.0,32.0, ۔
10,32.0,35.0, ۔
11,35.0,38.0, ۔
12,38.0,41.0, ۔
13,41.0,44.0, ۔
14,44.0,47.0, ۔
15,47.0,50.0, ۔
16,50.0,53.0, ۔
17,53.0,56.0, ۔
18,56.0,59.0, ۔
19,59.0,62.0, ۔
20,62.0,65.0, ۔
21,65.0,68.0, ۔
22,68.0,71.0, ۔
23,71.0,74.0, ۔
24,74.0,78.0, ۔
25,78.0,80.0, ۔
26,80.0,83.0, ۔
27,83.0,89.96, for the COVID and we thank all the authors for the slides provided with the book and also on the website
28,89.96,99.32, some of which we are using in this presentation. The rules of this course you should ask questions
29,99.32,106.28, through discussion forums and feel free to ask any question your perspective may be different
30,106.28,112.76, or more apt in mind. Correct me if I make a mistake remember I am in a continuous learning mode
31,113.16000000000001,121.32000000000001, do not take notes this slide that will be available on the web and finally please make sure
32,121.32000000000001,127.48, your cell phones are in shearing mode your chat window in busy mode so that you give undivided
33,127.48,138.52, attention to understand the course. Now we just want to reiterate the learning objectives
34,138.52,147.48000000000002, upon completion of this lecture you should be able to understand what information security
35,148.20000000000002,155.16000000000003, in the modern day contest and also in early days it was called computer security how it evolved
36,155.16000000000003,162.20000000000002, into information security understand many key terms and critical concepts of information security
37,162.2,172.11999999999998, of modern day and most importantly understand the way a organization which is IT driven the IT
38,172.11999999999998,177.79999999999998, management of an organization what would be the organogram of that organization who would be
39,177.79999999999998,186.12, responsible for doing what all these four objectives are very important to appreciate
40,186.20000000000002,192.28, information security and each of these objectives will have some subtle concepts.
41,194.68,199.72, I hope many of you know Burton Roussel so Burton Roussel came out with a small statement
42,200.52,205.88, very very small he is very much well known for very small jargons or very small statements
43,205.88,211.96, is that obviousness is the enemy of correctness many of the things that we will be teaching in this
44,211.96,219.4, course are will be debating in this course are obvious things which are not followed and because
45,219.4,227.88, of that we land up with issues. So we will be teaching you the obvious things in and what it means
46,228.12,234.76000000000002, if you do not if you neglect those things in the global scenario. So this is what would be our
47,234.76,245.48, learning objectives. This course has mentioned earlier has six modules this is sub module of
48,245.48,252.44, module one and what we will be discussing in the entire module one would be what is information
49,252.44,259.71999999999997, security why do you need it then CIA is a very very important term in information security
50,259.8,268.28000000000003, which basically talks about confidentiality integrity and availability and to bring this
51,268.28000000000003,275.08000000000004, confidentiality integrity and availability into the information security system there are lot of
52,275.08000000000004,281.64000000000004, things that need to be done and what you see in the three bullet points that follow are those
53,282.20000000000005,288.52000000000004, that are necessary to build in confidentiality integrity and availability into a system.
54,289.0,297.24, For example policies procedures guidelines standard from a security perspective what are all
55,297.24,305.64, the administrative measures and technical measures needed to enforce these three the CIA which are
