,Unnamed: 0,start,end,text,best_match,similarity_score
266,266,749.0,750.68,wyn andy,zun andy,0.46750958144966115
268,268,752.36,756.84,mson care work,liputan6wer cristo care work,0.5457767628992602
269,269,757.12,758.68,advise,advise viche,0.7071067811865476
270,270,765.4,767.12,viche,advise viche,0.7071067811865476
274,274,776.2,783.4000000000001,aaring resources computers slowly came arpa people started,formulas slowly came arpa people started sharing research teknologi internet crisrect,0.5231577546182127
281,281,822.36,829.5999999999999,1990s networks computers became common civilian sector,1990s networks computers became add and data,0.5511783255382819
282,282,829.6,834.08,need interconnect networks,need interconnect networks,1.0000000000000004
283,283,834.08,840.36,resulted massive global network today call internet,resulted massive global network today call internet realize much time,0.8176728183303512
285,285,846.2,849.36,treated low priority,still given low priority,0.5523652678989496
287,287,857.6,862.08,people realize much time,resulted massive global network today call internet realize much time,0.5156819134612687
288,288,862.08,868.0400000000001,thought network basically used sharing resources data also became,thought network basically used sharing resources data juga became,0.8572135378430865
289,289,868.0400000000001,872.36,something someone share wanted share data,immediately occ large scale i wanted share data,0.5210970087010629
290,290,872.36,879.2,going unsarable data within system something realization,something realization,0.5379714983099916
293,293,889.44,894.6,still given low priority,still given low priority,1.0
294,294,894.6,898.9200000000001,present internet brought millions computer networks communication,present internet brought millions computer networks communication,1.0000000000000002
299,299,919.22,926.84,system launch massive denial service attack entire land,home crisnerability one need careful system launch massive denial service attack entey land,0.6672287619381156
300,300,926.84,930.08,something one need careful,home crisnerability one need careful system launch massive denial service attack entey land,0.41316782088982673
301,301,930.08,938.68,present system requires large scale awareness discipline system,fitur requires large scale awareness disc tukar gull,0.43470245552246506
302,302,938.76,944.08,usage bring things control,policy podipline system bpsge bring things control explores environment,0.4963952792612041
304,304,946.28,951.3,look wise kai pee bay youtube blackberry facebook amazon iphone,ite saial layanan requie level cristop personal cris cris i pee bay youtube blackberry facebook facebook amazon iphone,0.540169637903479
305,305,951.3,957.4,live via ipad google,live via ipad google actually become verb want something google,0.7223705401277472
306,306,957.4,964.32,world google actually become verb want something google,live via ipad google actually become verb want something google,0.8108468896148497
307,307,964.32,974.92,today many organizations trillions trillions data millions millions,today many organizations trillions data millions ic enable major security come policy process,0.6284828875211222
