,Unnamed: 0,start,end,text,best_match,similarity_score
29,29,90.0,96.0, some of which we are using in this presentation,liputanes of this presentation,0.43687958828759665
30,30,96.0,101.0, the rules of this course you should ask questions through discussion forums,correct me if ia should askions through discussion forums,0.4499978679857891
31,31,101.0,109.0, and feel free to ask any question your perspective may be different or more app then mine,and feel free to ask any question your perspective may be different or more app alhasil mine,0.9260844437418932
37,37,140.0,148.0, upon completion of this lecture you should be able to understand what information security,do not take notes is called computer security addest and also in early days it wasved into completion of this lecture you should be able to understand the course,0.5040108896437895
38,38,148.0,154.0, in the modern day contest and also in early days it was called computer security,on the modern day contest dan also outcall early http www for this mobiledottual care,0.4373850754403833
42,42,171.0,177.0, the it management of an organization what would be the organogram of that organization,understand many key terms and it management of an organization who would be the organogram of that organization,0.7988640343748794
45,45,188.0,195.0, and each of these objectives will have some subtle concepts,and each of three objectives will have some subtle concepts,0.8960987474349387
47,47,197.0,204.0, so burton dressel came out with a small statement very very small he is very much well known for very small,so burton dressel came out with a small statement very very small antoctions is that obviousness is the enemy of correctness,0.7191388020938235
48,48,204.0,209.0, jargons or very small statements is that obviousness is the enemy of correctness,so burton dressel came out with a small statement very very small antoctions is that obviousness is the enemy of correctness,0.6176524268467859
51,51,222.0,232.0, so we will be teaching you the obvious things and what it means if you neglect those things in the global scenario,so t t artinya not followed and his it means if you neglect those things in this course or will becall anralness adding and and gloriorionsic knows hasvio baca you land up dengan issues,0.41676462311541657
52,52,232.0,239.0, so this is what would be our learning objectives,selengguron wheanother be t2cton himvigne soturio transfer and apa pun yang harus beucaching you his is what would be our learning objectives,0.48303931925246446
53,53,239.0,244.0, this course has mentioned earlier has six modules,this course has mentioned earlier has six modules,1.0000000000000002
54,54,244.0,251.0, this is sub module of module one and what we will be discussing in the entire module one would be,there are l baca you will be discussing in the entire module one person is is ad,0.5872280184371521
56,56,255.0,261.0, then cia is a very very important term in information security which basically talks about,apa you need it kita is very very important term in informasi security persons about,0.5505527811342203
57,57,261.0,266.0, confidentiality integrity and availability,and to bring this confidentiality integrity and availability into or information security system,0.6506808533115406
58,58,266.0,273.0, and to bring this confidentiality integrity and availability into the information security system,and to bring this confidentiality integrity and availability into or information security system,0.9611333579767964
59,59,273.0,280.0, there are lot of things that need to be done and what you see in the three bullet points that follow,ot of things that need to be done and what you see in the three bullet points traffic management standard dari a security perspective,0.6589612634843824
60,60,280.0,289.0, are those that are necessary to build in confidentiality integrity and availability into a system,and to bring this confidentiality integrity and availability into or information security system,0.5211673885539589
62,62,296.0,305.0, what are all the administrative measures and technical measures needed to enforce these three the cia,or the goals of information security we alsos needed to enforce these three the cia,0.4688790883676239
63,63,305.0,313.0, which are basically the foundations of information security or the goals of information security,or the goals of information security we alsos needed to enforce these three the cia,0.41818256596601117
65,65,318.0,326.0, people are the ones who follow a process and these processes are implemented by technology,people are the ones who follow a process and these processes are addressed at the process level dan the product yang kita actually use for yourlab and this modules,0.595063328767785
67,67,333.0,337.0, and the people who actually use these processes,people are the ones who follow a process and these processes are addressed at the process level dan the product yang kita actually use for yourlab and this modules,0.49122784596291286
