,Unnamed: 0,start,end,text,best_match,similarity_score
0,0,0.0,23.2, hello and welcome to the first weeks lecture for the course on introduction to operating,hello and welcome to the first weeks lecture for the course on introduction to operating,1.0000000000000004
3,3,38.92,46.64, to os in particular we will look at where the operating system actually fits in the entire,systems this week we will be building very contactoral to os in particular kita will is the essential role of the komputerting system actually fits in the entire,0.5423877424289947
4,4,46.64,53.92, computer and also we will see what is the essential role of the operating systems in the computer,systems this week we will be building very contactoral to os in particular kita will is the essential role of the komputerting system actually fits in the entire,0.4203563920113199
5,5,53.92,62.16, so when we look at computer systems we can think of it in different layers so right at the,http www ansipidotcholision hidcilsion diakses yahoo di the number change policy and liputan6 systems we can think of it di different layers so right at the,0.5033231354817842
11,11,102.04,112.28, forms to build things like the memory ram the decode unit the instruction fetch unit and so on,forms to build things like the memori ram the decode unit and so on,0.7977729024788061
13,13,120.12,127.72, the hardware so this is the physical hardware that we actually purchase from the store now,or tolchase from the store now,0.40963683525260675
15,15,134.92,143.8, for instance we could have office applications or internet explorers and so on now sitting,so kita could have offices or internet explorers dan so on now sittingdots,0.5171488244677755
18,18,158.92000000000002,165.48000000000002, manage how the resources are utilized in the system so let us see more in detail how the,untuk two things or it i very see more in detail how the number of,0.43624357603162245
20,20,175.4,183.72, for two things the it first provides hardware abstraction and second manages resources in the system,for second manages resources in the system,0.6108521430947781
22,22,192.84,200.68, software applications can utilize easily while the resource management is required because of,operating systems are osirect it kita let lether to look di the entire scheme to hand baca the data is deporting services are useed contr atletico to not it syndes mineral addime and second set for it emerges resources and one internet so let us his hister system is added value and ware abstraction essentially is used in order to turn the hardware into something software applications can utilize easily while the resource management is required because of,0.41456845297064215
24,24,207.96,216.2, operating system in more detail let us start with this very simple program so this is a program,monitor so kita is going to print the not simple program so we will look or the addrome written in more detail let us start dengan this two tiga uses of the special hello and essencely it is is mustoitel system namun this is a ver sporting contact in the c language saking and the number search so kami must look so for the string his his y simple program and essentially the string hello world is stored in,0.45606765647705416
25,25,216.2,223.24, written in the c language and essentially it is going to print the string hello world onto the,monitor so kita is going to print the not simple program so we will look or the addrome written in more detail let us start dengan this two tiga uses of the special hello and essencely it is is mustoitel system namun this is a ver sporting contact in the c language saking and the number search so kami must look so for the string his his y simple program and essentially the string hello world is stored in,0.4886819404749464
26,26,223.24,231.0, monitor so this is a very simple program and essentially the string hello world is stored in,monitor so kita is going to print the not simple program so we will look or the addrome written in more detail let us start dengan this two tiga uses of the special hello and essencely it is is mustoitel system namun this is a ver sporting contact in the c language saking and the number search so kami must look so for the string his his y simple program and essentially the string hello world is stored in,0.5703593567875439
27,27,231.0,241.56, memory and it is pointed to by this pointer str now printf is passed this pointer str and would,memori and it is pointed to by central pointer str now printf is passed onto the monitor for the entire scheme,0.6797484209515097
40,40,342.2,347.56, it is in fact quite complex as well as tedious imagine that every program that you write would,it is in fact quite complex as well or tedious imagine that knowing where in the memory t for the memori t have know ashley world onto a monitor kita muchto kapan kapan program google you write would menghindar to do all these things like knowting contrinens the guitar t mengapa knowle whel the shun t theue introspice to me his hisapitelaphic has saw know known any syndrome recancing,0.40031292362913873
42,42,356.44,362.68, how to actually display it onto the monitor how to compute the coordinates how to specify the color,how to compute the color,0.675225542537823
43,43,363.4,370.76, the depth and other attributes and how exactly to pass this information to the graphics card and so on,and other attributes and how exactly to pass this information to the graphics card or monitor changes tentu it is quite likely,0.715497536068253
45,45,378.92,385.8, example if the processor changes or if the graphics card or monitor changes then it is quite likely,attributes or if the graphics card changes,0.6969952808146639
46,46,385.8,393.8, that the program will not work for example if the monitor changes then there may be certain,that the program will will not work for example if the monitorion system orikes or icot tiga aspect is absen dalam one of these things for,0.4276871116048344
47,47,393.8,401.32, attributes which need to be specified differently for the new monitor or if the graphics card changes,attributes or if the graphics card changes,0.6364190804972174
48,48,401.32,409.4, then perhaps the way the coordinates are set where the depth and color are set for this string,and color are set for this string,0.6831123134318325
50,50,418.12,425.32, know about the nitty gritty details about the hardware essentially he would need to know what,essentially or as you would see see the nitty gritty details about the hardware anymoreldots are abstracted out,0.45114172488688453
52,52,435.88,442.6, so operating systems essentially provide abstraction they sit in between the applications that we write,so operating systems essentially provide abstraction they sit in between the applications that we write,1.0
53,53,443.24,452.52, and the hardware and abstract all the nitty gritty details of the hardware from the applications,and his abstract all the software call or glotty details of the hardware from the androids,0.5497256811813356
54,54,453.48,460.6, so a simple statement such as this printf sdr would eventually result in something known as,so a simple statement is addablely result in something known as,0.6572825737405329
56,56,467.8,475.72, the string sdr will be displayed onto the monitor everything such as how the color needs to be set,yang be justed onto to execute the os will forcalllet sdr will then manage how hukumnya such as how t dalamisyutely halult it must must gofat in himually respaction inved and introfekty detult and system he color needs to be set and so on much so from the operating system,0.42823265817439515
58,58,483.56,491.3200000000001, so from an application perspective and from a programmer perspective all these details are abstracted out,so dari an application perspective and from a leksantage is the reusable functionality,0.4812302643654213
61,61,509.64,516.04, essentially applications can reuse the operating system functionality so what we mean by this is,that since mean by this system could just reuse the hardware details from the applications and the os will then,0.4283881418653034
62,62,516.04,524.76, that since the os abstracts the hardware details from the applications all applications that execute,that since mean by this system could just reuse the hardware details from the applications and the os will then,0.5286245944824911
63,63,524.76,530.5999999999999, in this system could just reuse the operating systems features for example,that since mean by this system could just reuse the hardware details from the applications and the os will then,0.4264893454306531
65,65,539.88,547.4799999999999, take care of communicating with the hardware there is the single module in the operating system,take care of communicating with the host,0.6148098437293553
69,69,572.36,581.1600000000001, it could run in a desktop for instance or a server or a laptop or if compiled appropriately also,it could run in a desktop for instance or a laptop or if compiled appropriately also,0.9492896230000528
