,start,end,text
0,0.0,23.2, Hello and welcome to the first week's lecture for the course on Introduction to Operating
1,23.2,31.32, Systems. This week we will be building a platform for the course upon which the following
2,31.32,38.92, weeks lectures will depend upon. In this particular lecture we will give a very brief introduction
3,38.92,46.64, to OS. In particular we will look at where the operating system actually fits in the entire
4,46.64,53.92, computer and also we will see what is the essential role of the operating systems in the computer.
5,53.92,62.16," So, when we look at computer systems we can think of it in different layers. So, right at the"
6,62.16,68.68," bottom layer are millions and billions of transistors. So, these transistors are typically"
7,68.68,75.44, CMOS transistors and these transistors are then composed together to build several logical
8,75.44,83.92, gates and these gates would include several digital logical gates such as the AND gate or XOR
9,83.92,92.75999999999999," and so on. Included in this particular layer are various things like the memory cells, flip"
10,92.75999999999999,102.03999999999999," flops, registers and so on. Now, all these basic VLSI units are then organized into various"
11,102.04,112.28," forms to build things like the memory, RAM, the decode unit, the instruction fetch unit and so on."
12,112.28,120.12," So, this organization which is the third layer in the computer system is what we actually see as"
13,120.12,127.72," the hardware. So, this is the physical hardware that we actually purchase from the store. Now,"
14,127.72,134.92, when we purchase this computer hardware we could execute several different applications.
15,134.92,143.8," For instance, we could have office applications or internet explorers and so on. Now, sitting"
16,143.8,151.4," between these applications as well as the hardware is the operating systems. So, the operating system"
17,151.88,158.92000000000002, essentially would manage both the applications that execute on the computer as well as it would
18,158.92000000000002,165.48000000000002," manage how the resources are utilized in the system. So, let us see more in detail how the"
19,165.48000000000002,175.32," operating systems are used in the entire scheme. To look at it broadly, the operating system is used"
20,175.4,183.72, for two things. The it first provides hardware abstraction and second manages resources in the system.
21,184.76,192.84, The hardware abstraction essentially is used in order to turn the hardware into something that
22,192.84,200.68, software applications can utilize easily while the resource management is required because of
23,200.68,207.96," the limited resources that are present in the computer. So, we will look at these two uses of the"
24,207.96,216.20000000000002," operating system in more detail. Let us start with this very simple program. So, this is a program"
25,216.20000000000002,223.24, written in the C language and essentially it is going to print the string hello world onto the
26,223.24,231.0," monitor. So, this is a very simple program and essentially the string hello world is stored in"
27,231.0,241.56," memory and it is pointed to by this pointer STR. Now, printf is passed this pointer STR and would"
28,241.56,251.08," result in the string being printed onto the monitor. Now, the question which comes is how exactly"
29,251.08,259.0, is the string displayed onto the monitor. What is the process involved to get the string which is
30,259.0,266.76," stored in memory to be displayed onto the monitor. So, in fact, when we look at the entire scheme,"
31,267.48,273.72, the string hello world would be present in some memory location in the main memory which is also
